"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 14-Oct-2021","30 D % CHNG 
 16-Sep-2022"
"NIFTY MIDCAP 50","8,693.85","8,769.60","8,683.35","8,673.45","8,760.65","87.20","1.01",593372002,"65,784,692,925.94","8,946.65","6,963.15","-6.17","-2.20"
"PFC","129.90","136.95","128.05","129.10","136.45","7.35","5.69",23113255,"3,120,751,690.10","136.95","97.10","-31.65","-10.62"
"PNB","51.50","55.65","51.25","50.85","53.70","2.85","5.60",357505533,"19,337,474,279.97","55.65","28.05","-13.28","-6.94"
"RECLTD","103.50","109.95","103.10","103.30","109.00","5.70","5.52",28062972,"3,026,872,159.92","109.95","82.24","-44.37","-11.92"
"ESCORTS","2,190.00","2,289.80","2,186.00","2,185.40","2,282.40","97.00","4.44",1537707,"3,488,857,281.09","2,289.80","1,306.70","29.43","2.01"
"LICHSGFIN","371.65","384.05","371.20","371.30","383.20","11.90","3.20",2489143,"946,596,191.47","443.60","291.75","-7.90","-5.18"
"BALKRISIND","1,978.00","2,032.00","1,968.05","1,975.40","2,027.15","51.75","2.62",482862,"970,547,791.38","2,537.45","1,690.55","-26.50","-0.05"
"ZYDUSLIFE","395.00","404.00","392.40","393.00","402.75","9.75","2.48",1450520,"579,569,771.20","486.85","319.00","-","15.93"
"IDFCFIRSTB","56.90","59.20","56.75","56.80","58.10","1.30","2.29",39123297,"2,275,019,720.55","59.45","28.95","12.85","9.42"
"PERSISTENT","3,888.30","3,979.00","3,878.25","3,888.30","3,971.15","82.85","2.13",448905,"1,764,057,489.45","4,987.50","3,092.05","-13.85","14.79"
"M&MFIN","209.25","214.10","206.75","208.60","212.90","4.30","2.06",2821320,"597,696,642.00","235.10","128.00","14.17","-6.48"
"ZEEL","253.90","259.80","252.70","252.75","257.80","5.05","2.00",4730137,"1,212,901,729.54","378.70","200.50","-17.56","0.96"
"HINDPETRO","221.95","228.40","219.20","221.50","225.90","4.40","1.99",3760101,"847,827,573.48","332.20","200.05","-38.96","-11.60"
"OBEROIRLTY","882.95","905.00","880.05","877.50","894.20","16.70","1.90",423752,"379,516,528.72","1,088.95","725.95","-10.33","-16.09"
"ASHOKLEY","146.20","149.80","145.70","146.10","148.75","2.65","1.81",9225537,"1,371,929,607.27","169.45","93.20","2.28","-7.73"
"AUROPHARMA","458.60","465.35","455.30","456.30","463.85","7.55","1.65",1218139,"561,501,172.05","742.00","455.10","-28.51","-2.49"
"GODREJPROP","1,271.20","1,296.95","1,264.05","1,269.65","1,289.90","20.25","1.59",470467,"605,326,365.55","2,269.95","1,129.55","-52.57","-10.82"
"CONCOR","751.10","766.90","750.00","751.40","763.05","11.65","1.55",1304790,"993,688,920.30","828.75","554.00","5.23","-3.51"
"VOLTAS","822.00","831.00","817.10","818.75","830.40","11.65","1.42",1658610,"1,366,346,331.90","1,347.65","803.60","-34.36","-4.74"
"MFSL","657.25","672.95","657.25","657.25","666.60","9.35","1.42",751903,"502,023,076.01","1,080.70","625.20","-27.78","-13.28"
"PAGEIND","46,779.80","47,337.25","46,586.10","46,585.55","47,211.45","625.90","1.34",9179,"431,682,220.07","54,349.10","36,090.00","37.38","5.18"
"BATAINDIA","1,689.45","1,712.25","1,683.00","1,689.45","1,711.25","21.80","1.29",168191,"285,879,288.43","2,122.00","1,607.45","-13.13","-0.01"
"JUBLFOOD","550.75","557.50","546.25","549.90","556.80","6.90","1.25",1720930,"951,037,545.90","806.40","451.20","-86.48","-4.83"
"INDHOTEL","319.40","324.25","318.55","317.75","321.70","3.95","1.24",4938883,"1,591,851,379.73","349.00","171.00","38.64","-1.16"
"TORNTPOWER","539.80","549.45","538.00","538.10","544.60","6.50","1.21",506677,"276,007,228.98","610.00","415.25","-6.42","-10.78"
"POLYCAB","2,534.95","2,561.90","2,521.00","2,520.25","2,549.50","29.25","1.16",256066,"650,804,542.30","2,862.50","2,043.85","2.17","0.75"
"ASTRAL","1,880.00","1,902.40","1,875.70","1,873.85","1,893.50","19.65","1.05",238687,"450,889,290.48","2,654.80","1,581.55","-8.12","-8.14"
"SAIL","82.85","83.75","82.05","82.60","83.40","0.80","0.97",9680436,"806,573,927.52","123.45","63.60","-37.00","-2.98"
"PETRONET","207.90","209.20","206.20","207.10","208.75","1.65","0.80",1352340,"281,043,298.80","232.00","190.25","-12.82","-4.33"
"IDEA","8.05","8.10","7.95","8.05","8.10","0.05","0.62",67148709,"538,532,646.18","16.80","7.75","-21.86","-8.70"
"TATACOMM","1,289.00","1,303.70","1,280.80","1,287.50","1,295.30","7.80","0.61",248224,"320,586,260.48","1,591.95","856.25","-16.95","-0.64"
"MRF","89,365.00","90,388.00","89,001.00","89,404.65","89,902.55","497.90","0.56",8165,"732,746,124.45","96,000.00","63,000.00","-3.40","-4.46"
"ABBOTINDIA","20,194.25","20,325.00","19,937.95","20,194.25","20,287.85","93.60","0.46",8648,"174,455,412.16","20,900.80","15,514.00","-16.08","3.06"
"TRENT","1,430.00","1,448.00","1,424.20","1,429.45","1,435.95","6.50","0.45",497437,"713,503,735.32","1,566.00","970.60","19.39","-3.80"
"HONAUT","42,206.00","42,725.00","41,785.15","42,316.45","42,499.95","183.50","0.43",4882,"206,665,751.58","46,397.70","30,185.35","-13.89","-4.86"
"CUMMINSIND","1,380.25","1,391.35","1,374.10","1,377.55","1,383.40","5.85","0.42",459529,"636,387,926.23","1,392.90","842.00","31.31","-0.46"
"BHARATFORG","843.70","849.90","837.65","843.85","846.85","3.00","0.36",751858,"634,718,523.60","896.70","595.00","-3.52","3.62"
"AUBANK","636.00","640.00","628.50","636.35","637.30","0.95","0.15",1005322,"638,077,873.40","732.98","462.50","-48.37","-6.51"
"LUPIN","719.10","722.65","708.05","719.10","720.05","0.95","0.13",751402,"539,423,981.78","972.40","583.00","-27.03","9.25"
"OFSS","3,059.80","3,065.55","3,039.25","3,045.75","3,049.35","3.60","0.12",70256,"214,131,857.28","4,400.00","2,883.25","-38.46","-3.17"
"LTTS","3,909.95","3,934.00","3,873.15","3,890.50","3,893.00","2.50","0.06",202454,"789,663,728.84","5,955.50","2,924.20","-25.55","4.48"
"COFORGE","3,963.85","3,990.00","3,925.00","3,947.90","3,946.15","-1.75","-0.04",145276,"574,489,583.72","6,135.00","3,210.05","-32.85","14.68"
"GUJGASLTD","496.60","496.95","486.60","493.95","492.90","-1.05","-0.21",1365181,"671,436,971.23","721.80","403.55","-25.34","-6.90"
"JINDALSTEL","524.65","524.65","517.50","522.00","520.50","-1.50","-0.29",1529350,"796,057,262.00","577.80","304.20","-1.51","0.91"
"CANBK","327.30","333.95","324.60","328.55","327.60","-0.95","-0.29",10265056,"3,382,233,301.44","333.95","171.75","22.66","-2.84"
"UBL","1,671.30","1,673.95","1,656.10","1,664.40","1,657.00","-7.40","-0.44",92965,"154,640,769.95","1,754.30","1,274.50","-2.37","2.03"
"FEDERALBNK","134.00","135.10","132.00","133.35","132.75","-0.60","-0.45",6910428,"920,123,488.20","139.95","78.60","41.25","8.19"
"ABB","3,140.10","3,159.00","3,085.00","3,124.95","3,094.90","-30.05","-0.96",315666,"984,151,888.20","3,446.30","1,944.60","75.73","0.52"
"ALKEM","3,097.80","3,102.60","3,065.00","3,100.00","3,068.00","-32.00","-1.03",34297,"105,644,363.16","3,786.00","2,828.00","-19.79","-1.83"
"TVSMOTOR","1,053.55","1,055.65","1,035.95","1,052.65","1,037.55","-15.10","-1.43",1361311,"1,419,248,396.16","1,176.90","513.00","84.15","4.89"
"SRTRANSFIN","1,315.00","1,322.00","1,275.85","1,311.70","1,280.00","-31.70","-2.42",745247,"963,500,036.42","1,600.95","1,002.00","-13.82","-7.14"
