"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 14-Oct-2021","30 D % CHNG 
 16-Sep-2022"
"NIFTY NEXT 50","42,850.70","42,851.05","42,620.45","42,717.60","42,849.05","131.45","0.31",225408788,"58,701,275,028.31","45,509.70","35,018.20","-6.82","-5.75"
"PAYTM","454.00","475.30","448.00","441.10","457.60","16.50","3.74",17363199,"8,038,466,609.04","1,873.70","438.35","-","-6.41"
"BANDHANBNK","213.00","220.35","212.00","212.50","219.25","6.75","3.18",11375902,"2,476,533,865.40","349.55","209.55","-16.91","-6.96"
"NYKAA","172.45","178.90","171.95","171.05","176.05","5.00","2.92",15484574,"2,722,033,263.46","428.95","162.50","-","-14.37"
"BIOCON","276.00","282.75","275.10","274.45","282.25","7.80","2.84",1701972,"476,143,686.72","410.70","258.25","-24.15","-9.46"
"MPHASIS","1,950.00","1,999.95","1,930.50","1,941.25","1,995.95","54.70","2.82",542594,"1,064,368,668.22","3,479.00","1,898.00","-35.68","4.20"
"MOTHERSON","71.95","73.80","71.65","71.65","73.50","1.85","2.58",5736822,"418,615,901.34","169.30","61.80","-","-44.28"
"NAUKRI","3,881.40","3,964.80","3,843.00","3,862.05","3,958.45","96.40","2.50",298874,"1,167,336,091.72","6,133.95","3,313.00","-45.93","-8.06"
"ACC","2,468.80","2,513.65","2,455.65","2,461.35","2,512.60","51.25","2.08",366781,"911,326,079.46","2,785.00","1,900.00","-1.72","-13.07"
"HDFCAMC","2,127.20","2,166.00","2,124.85","2,124.55","2,166.00","41.45","1.95",271376,"583,553,381.60","2,621.50","1,690.00","-35.11","-1.54"
"VEDL","312.50","317.35","309.60","310.90","316.70","5.80","1.87",10202791,"3,213,369,025.45","440.75","206.00","-15.62","-3.68"
"IOC","72.20","73.95","71.65","72.05","73.30","1.25","1.73",20487389,"1,499,267,127.02","90.70","65.20","-50.86","-5.58"
"BOSCHLTD","16,721.45","16,949.85","16,602.55","16,638.30","16,926.50","288.20","1.73",24129,"406,357,454.16","18,224.70","12,932.45","-12.85","-8.06"
"ZOMATO","64.00","64.90","63.05","63.20","64.25","1.05","1.66",67976366,"4,343,689,787.40","161.30","40.60","-53.59","-0.87"
"TATAPOWER","221.20","224.85","220.35","220.75","224.10","3.35","1.52",7149499,"1,596,626,116.68","298.05","190.00","-2.09","-7.77"
"AMBUJACEM","560.40","567.40","556.55","557.85","565.80","7.95","1.43",3615322,"2,033,871,697.54","593.50","274.00","27.35","0.75"
"GAIL","92.50","93.85","91.75","92.10","93.20","1.10","1.19",10947193,"1,018,636,308.65","115.67","83.00","-46.86","-7.45"
"DLF","393.50","400.90","392.45","392.15","396.55","4.40","1.12",3216112,"1,277,343,203.04","429.90","294.70","-17.36","-7.63"
"INDUSTOWER","202.20","203.70","198.80","201.50","203.50","2.00","0.99",1022677,"206,304,631.21","301.50","181.20","-38.38","-7.69"
"SRF","2,278.00","2,291.30","2,242.35","2,259.45","2,280.15","20.70","0.92",275824,"626,445,952.32","2,865.00","1,973.10","5.81","-5.66"
"MCDOWELL-N","884.00","899.90","876.15","881.65","889.40","7.75","0.88",1166704,"1,038,366,560.00","958.10","712.00","-7.07","-1.47"
"SBICARD","803.00","809.45","799.40","799.45","805.50","6.05","0.76",1048541,"844,348,125.66","1,028.65","655.70","-24.36","-8.09"
"TORNTPHARM","1,614.15","1,628.00","1,606.10","1,614.15","1,626.35","12.20","0.76",95961,"155,205,402.18","1,750.00","1,242.08","-49.51","6.88"
"INDIGO","1,910.00","1,912.95","1,876.00","1,897.30","1,909.05","11.75","0.62",321456,"609,978,832.80","2,282.10","1,511.75","-15.83","-4.96"
"LICI","627.35","630.75","626.70","624.25","627.70","3.45","0.55",712784,"447,742,397.44","918.95","588.00","-","-7.03"
"DABUR","555.00","557.50","547.70","553.60","556.50","2.90","0.52",692247,"382,383,397.86","612.40","482.25","-13.86","-3.01"
"HAL","2,732.00","2,774.95","2,723.00","2,727.90","2,739.80","11.90","0.44",641683,"1,763,498,887.92","2,774.95","1,181.20","63.74","-4.81"
"HAVELLS","1,245.80","1,254.90","1,236.00","1,243.00","1,247.90","4.90","0.39",271784,"338,517,843.36","1,429.40","1,037.40","-16.42","-5.40"
"PGHH","13,916.35","14,019.00","13,891.00","13,912.05","13,960.95","48.90","0.35",13747,"192,332,489.89","16,448.70","12,801.00","0.42","-3.68"
"BERGEPAINT","614.85","617.60","608.00","614.85","616.90","2.05","0.33",432495,"265,292,433.00","799.45","543.60","-26.80","-3.95"
"MUTHOOTFIN","1,070.00","1,083.90","1,064.60","1,074.05","1,077.40","3.35","0.31",307142,"330,239,078.40","1,559.95","950.20","-34.17","-1.10"
"BEL","107.30","108.00","106.65","107.00","107.10","0.10","0.09",7857493,"842,873,274.11","114.65","62.33","-51.65","-8.29"
"PIIND","3,404.90","3,409.60","3,374.25","3,389.65","3,388.00","-1.65","-0.05",106166,"359,947,329.72","3,698.45","2,333.55","-7.71","-2.46"
"SHREECEM","23,304.00","23,304.00","22,900.00","23,198.95","23,178.90","-20.05","-0.09",39779,"916,981,530.10","27,936.75","17,865.20","-25.49","-10.66"
"COLPAL","1,582.50","1,584.05","1,575.10","1,581.65","1,580.00","-1.65","-0.10",98963,"156,258,618.48","1,695.95","1,375.60","-6.60","0.45"
"LTI","4,965.00","4,971.95","4,905.00","4,945.55","4,939.25","-6.30","-0.13",232545,"1,148,097,919.50","7,588.80","3,733.30","-23.89","5.99"
"IRCTC","727.95","727.95","721.60","723.55","722.35","-1.20","-0.17",685876,"496,752,551.76","918.65","557.00","-86.68","3.56"
"CHOLAFIN","725.00","728.75","718.25","722.05","720.70","-1.35","-0.19",653020,"471,689,406.40","817.75","469.25","23.29","-4.72"
"GODREJCP","865.00","866.95","850.10","862.80","860.20","-2.60","-0.30",469647,"402,788,053.08","976.00","660.05","-19.75","-6.35"
"GLAND","1,706.00","1,709.00","1,685.50","1,697.50","1,690.10","-7.40","-0.44",83601,"141,843,308.67","4,062.95","1,660.00","-42.94","-5.95"
"MARICO","491.70","491.70","484.10","489.50","486.60","-2.90","-0.59",1302837,"633,269,980.59","554.35","455.65","-11.28","1.04"
"ICICIGI","1,175.00","1,175.00","1,156.30","1,169.90","1,162.60","-7.30","-0.62",417188,"485,060,315.72","1,522.00","1,071.00","-25.52","-6.83"
"SIEMENS","2,816.65","2,843.85","2,750.00","2,816.65","2,780.00","-36.65","-1.30",462275,"1,285,448,092.50","3,138.50","2,021.00","20.98","-7.22"
"ADANIGREEN","2,049.00","2,049.60","1,991.55","2,043.05","2,015.00","-28.05","-1.37",525408,"1,054,309,963.20","3,050.00","1,235.00","78.56","-7.00"
"BANKBARODA","170.95","172.70","166.80","170.40","167.85","-2.55","-1.50",23818724,"4,035,606,407.32","172.70","77.05","53.41","-0.80"
"PIDILITIND","2,699.70","2,707.00","2,653.20","2,703.90","2,663.25","-40.65","-1.50",228897,"612,054,555.21","2,918.95","1,988.55","8.48","-3.85"
"DMART","3,969.00","3,977.05","3,901.00","3,968.05","3,905.00","-63.05","-1.59",224958,"880,213,412.82","4,958.95","3,186.00","-21.98","-4.02"
"ATGL","3,741.95","3,745.00","3,631.00","3,731.00","3,664.90","-66.10","-1.77",178105,"652,610,559.95","3,912.40","1,510.30","-","-12.17"
"ADANITRANS","2,790.85","2,795.00","2,725.00","2,790.85","2,739.40","-51.45","-1.84",501831,"1,376,823,531.60","4,236.75","1,650.25","-","-24.92"
"ICICIPRULI","461.30","468.80","451.85","462.00","451.95","-10.05","-2.18",3661669,"1,681,072,237.90","648.85","430.00","-21.82","-8.39"
"BAJAJHLDNG","6,547.00","6,580.00","6,351.60","6,521.25","6,372.35","-148.90","-2.28",95866,"619,379,680.74","7,378.45","4,294.05","39.32","-2.25"
