"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 14-Oct-2021","30 D % CHNG 
 16-Sep-2022"
"NIFTY SMALLCAP 100","9,769.75","9,864.30","9,768.35","9,740.65","9,858.20","117.55","1.21",563519028,"47,511,518,540.60","12,047.45","7,904.90","-17.55","-2.61"
"IBULHSGFIN","124.30","139.25","123.80","123.75","138.00","14.25","11.52",48298003,"6,511,053,784.43","279.00","89.00","-46.91","-0.90"
"UTIAMC","690.00","749.00","690.00","688.15","744.30","56.15","8.16",2081322,"1,515,431,361.42","1,155.00","595.00","-33.19","-9.59"
"SUZLON","7.90","8.60","7.85","7.90","8.45","0.55","6.96",215419123,"1,800,903,868.28","12.02","5.41","5.67","-17.68"
"RBLBANK","142.10","151.80","142.10","141.95","150.20","8.25","5.81",33309317,"4,950,763,785.71","205.40","74.15","-33.71","2.17"
"IDBI","49.25","53.00","49.00","48.95","51.10","2.15","4.39",38442172,"1,982,462,810.04","55.00","30.50","-31.44","-4.03"
"TV18BRDCST","35.55","37.40","35.40","35.35","36.85","1.50","4.24",11693915,"428,932,802.20","82.60","34.50","-20.81","-8.37"
"NETWORK18","60.70","63.70","60.55","60.40","62.95","2.55","4.22",1633828,"102,016,220.32","117.50","57.40","-15.68","-3.28"
"APOLLOTYRE","283.55","294.30","283.10","282.10","293.95","11.85","4.20",4445816,"1,288,530,851.28","303.60","165.25","15.30","-2.25"
"CANFINHOME","525.00","547.20","521.80","524.60","544.90","20.30","3.87",1361978,"734,664,552.98","685.00","406.65","-28.21","-20.91"
"MAPMYINDIA","1,161.00","1,197.50","1,157.75","1,149.85","1,190.25","40.40","3.51",83550,"99,027,637.50","1,917.40","1,128.10","-","-2.07"
"RENUKA","56.80","58.50","55.55","56.50","58.45","1.95","3.45",9385574,"534,414,583.56","68.75","24.40","106.72","24.37"
"ANGELONE","1,502.90","1,540.00","1,491.00","1,495.40","1,537.00","41.60","2.78",347975,"528,761,931.50","2,022.00","990.50","-","3.72"
"PVR","1,835.00","1,875.00","1,828.30","1,821.70","1,866.50","44.80","2.46",1126892,"2,097,731,995.84","2,214.85","1,224.05","-1.47","-4.12"
"MGL","873.95","892.65","868.05","870.70","891.90","21.20","2.43",286900,"253,441,722.00","952.50","665.80","-25.50","-6.50"
"IDFC","78.50","81.65","78.45","78.40","80.25","1.85","2.36",7570327,"608,200,071.18","82.45","42.20","42.99","17.25"
"TRIVENI","280.45","286.00","278.15","278.45","285.00","6.55","2.35",586529,"166,116,743.38","374.50","197.60","33.23","9.27"
"BRIGADE","472.00","483.70","466.85","469.90","480.85","10.95","2.33",109032,"51,689,890.56","585.00","376.15","6.06","-12.35"
"EXIDEIND","181.80","186.65","181.70","181.85","185.65","3.80","2.09",3905185,"721,678,188.00","188.00","130.25","-16.83","-7.59"
"MMTC","37.75","39.10","37.55","37.65","38.40","0.75","1.99",3166472,"121,750,848.40","64.70","31.00","-25.90","-6.56"
"AEGISCHEM","328.15","338.00","325.10","330.15","336.60","6.45","1.95",694326,"231,363,309.72","338.00","167.25","19.89","-3.34"
"MEDPLUS","666.30","672.50","653.00","659.70","672.50","12.80","1.94",108076,"71,281,525.80","1,343.00","570.00","-","-13.20"
"RAIN","175.70","179.90","175.70","175.50","178.75","3.25","1.85",1335469,"237,860,383.59","255.80","128.60","-30.68","-6.32"
"JSL","172.20","178.80","172.20","173.35","176.50","3.15","1.82",962244,"169,730,219.16","224.40","95.05","-24.64","-5.95"
"REDINGTON","177.45","183.55","177.00","176.20","179.40","3.20","1.82",12715895,"2,298,398,021.25","183.55","109.40","-10.44","-10.44"
"CHAMBLFERT","300.00","304.00","297.20","297.65","303.05","5.40","1.81",1779271,"536,414,621.08","516.00","260.80","-14.53","-4.17"
"VTL","337.00","343.40","333.65","335.60","341.30","5.70","1.70",171799,"58,275,938.79","2,880.00","245.50","-82.83","-1.36"
"MRPL","56.40","57.70","55.75","56.05","57.00","0.95","1.69",3633790,"206,871,664.70","127.65","37.05","7.40","-20.78"
